зробіть	зробити verb:impr:p:2:perf 
жахливе	жахливий adj:n:v_naz:compb 
запрошена	запрошений adjp:pasv:past:f:v_naz 
навчає	навчати verb:pres:s:3:imperf 
містить	містити verb:pres:s:3:imperf 
дивна	дивний adj:f:v_naz:compb 
мінімальний	мінімальний adj:m:v_naz 
повазі	повага noun:f:v_dav 
народжується	народжуватися verb:rev:pres:s:3:imperf 
овочеві	овочевий adj:p:v_naz 
третьому	третій adj:m:v_dav
карамелі	карамель noun:f:v_dav 
лаку	лак noun:m:v_dav 
побачимо	побачити verb:futr:p:1:perf 
кістковий	кістковий adj:m:v_naz 
такі	такий adj:p:v_naz:&pron:def 
деранківського	- - 
новий	новий adj:m:v_naz:compb 
скоро	скоро adv:compb 
дивно	дивно adv:compb 
світу	світ noun:m:v_dav
дешевому	дешевий adj:m:v_dav:compb 
історичний	історичний adj:m:v_naz 
розповіли	розповісти verb:past:p:perf 
xmas	- - 
знавці	знавець noun:m:v_mis:anim 
кінці	кінець noun:m:v_mis 
шкіри	шкіра noun:f:v_rod
вегетаріанці	вегетаріанець noun:m:v_mis:anim 
історія	історія noun:f:v_naz 
загальнохарчове	- - 
салати	салат noun:p:v_naz
тарелі	таріль noun:m:v_mis 
справжнього	справжній adj:m:v_rod 
марк	- - 
кабінет	кабінет noun:m:v_naz 
різне	різний adj:n:v_naz 
варок	- - 
цибулева	цибулевий adj:f:v_naz 
чеське	чеський adj:n:v_naz 
пивний	пивний adj:m:v_naz 
закладу	заклад noun:m:v_dav 
закласти verb:futr:s:1:perf 
великий	великий adj:m:v_naz:compb 
постійних	постійний adj:p:v_mis
вибір	вибір noun:m:v_naz
ярина	ярина noun:f:v_naz 
справжнє	справжній adj:n:v_naz 
повільні	повільний adj:p:v_naz:compb 
цілим	цілий adj:m:v_oru
ринок	ринок noun:m:v_naz 
іванович	- - 
рефлексом	рефлекс noun:m:v_oru 
столиків	столик noun:p:v_rod 
чітко	чітко adv:compb 
кабак	кабак noun:m:v_naz 
відтінків	відтінок noun:p:v_rod 
їжа	їжа noun:f:v_naz 
їхнього	їхній adj:m:v_rod:&pron:pos
подати	подати verb:inf:perf 
темне	темний adj:n:v_naz:compb 
перша	перший adj:f:v_naz 
шаленого	шалений adj:m:v_rod 
решту	решта noun:f:v_zna 
забігайлівка	забігайлівка noun:f:v_naz 
власної	власний adj:f:v_rod 
хвилини	хвилина noun:f:v_rod 
вишуканих	вишуканий adjp:pasv:past:p:v_mis:compb
всюди	всюди adv:gen:v-u:&pron 
дегустацією	дегустація noun:f:v_oru 
туалеті	туалет noun:m:v_mis 
цікавим	цікавий adj:m:v_oru:compb 
гречане	гречаний adj:n:v_naz 
рідина	рідина noun:f:v_naz
біля	біля adv 
вікно	вікно noun:n:v_naz 
незрівнянно	незрівнянно adv 
прибиральників	прибиральник noun:p:v_rod:anim
місце	місце noun:n:v_naz 
устаткування	устаткування noun:n:v_naz:v-u  
пампушки	пампушка noun:f:v_rod 
рибу	риба noun:f:v_zna:anim 
фесту	фест noun:m:v_dav:bad
bitter	- - 
зробили	зробити verb:past:p:perf 
насолоджуватись	насолоджуватися verb:rev:inf:imperf 
жива	живий adj:f:v_naz:compb 
можливо	можливо adv 
великі	великий adj:p:v_naz:compb
крафтового	- - 
лаків	лак noun:p:v_rod 
впитися	впитися verb:rev:inf:perf:v-u 
власного	власний adj:m:v_rod 
праву	правий adj:f:v_zna:compb
малих	малий adj:p:v_mis:compb
відгуків	відгук noun:p:v_rod 
місця	місце noun:n:v_rod 
іринка	- - 
гарна	гарний adj:f:v_naz:compb 
пастер	- - 
напою	напоїти verb:futr:s:1:perf
мережа	мережа noun:f:v_naz 
вибрати	вибрати verb:inf:perf 
рідкісна	рідкісний adj:f:v_naz:compb 
порції	порція noun:f:v_dav 
буду	буда noun:f:v_zna
засмакувала	засмакувати verb:past:f:perf 
позитивний	позитивний adj:m:v_naz:compb 
років	рік noun:p:v_rod 
форфасів	- - 
світі	світ noun:m:v_mis 
фільтр	фільтр noun:m:v_naz 
мозок	мозок noun:m:v_naz 
парою	пара noun:f:v_oru 
кабінки	кабінка noun:f:v_rod 
компенсувати	компенсувати verb:inf:imperf 
показали	показати verb:past:p:perf 
адекватні	адекватний adj:p:v_naz:compb 
незвичайне	незвичайний adj:n:v_naz 
якось	якось adv:&pron:ind 
надіюсь	надіятися verb:rev:pres:s:1:imperf
хороше	хороший adj:n:v_naz:compb 
смакових	смаковий adj:p:v_mis 
ужасне	- - 
підхожу	підхожий adj:f:v_zna 
другому	другий adj:m:v_dav 
хотіла	хотіти verb:unknown 
звариться	зваритися verb:rev:futr:s:3:perf 
пивоварні	пивоварний adj:p:v_naz 
бару	бар noun:m:v_dav 
локаль	локаль noun:f:v_naz 
сухарі	сухар noun:m:v_mis 
підходи	підхід noun:p:v_naz 
володимир	- - 
позиції	позиція noun:f:v_dav 
ікспенсів	- - 
ярослав	- - 
кожній	кожний adj:f:v_dav:&pron:def 
брати	брати verb:inf:imperf 
основну	основний adj:f:v_zna 
закуски	закуска noun:f:v_rod 
сметана	сметана 
noun:f:v_naz 
фахові	фаховий adj:p:v_naz 
передбачається	передбачатися 
verb:rev:pres:s:3:imperf
жаль	жаль noun:m:v_naz
гарний	гарний adj:m:v_naz:compb 
gallina	- - 
відповіді	відповідь noun:f:v_dav 
розчаровує	розчаровувати verb:pres:s:3:imperf 
привозне	- - 
сподобалось	сподобатися verb:rev:past:n:perf 
присутні	присутній adj:p:v_naz 
марта	- - 
барселони	- - 
форматі	формат noun:m:v_mis 
ситуація	ситуація noun:f:v_naz 
буде	бути verb:futr:s:3:imperf 
приготування	приготування noun:n:v_naz 
низку	низка noun:f:v_zna 
бітнер	- - 
хроном	хрін noun:m:v_oru 
тематичний	тематичний adj:m:v_naz 
поверхи	поверх noun:p:v_naz 
світле	світлий adj:n:v_naz:compb 
справжньому	справжній adj:m:v_dav 
прямо	прямо adv:compb 
мають	мати verb:pres:p:3:imperf 
весна	весна noun:f:v_naz 
локалівській	- - 
дзиґи	дзиґа noun:f:v_rod 
присмаком	присмак noun:m:v_oru 
варки	варка noun:f:v_rod 
прекрасне	прекрасний adj:n:v_naz:compb 
було	бути verb:past:n:imperf 
існує	існувати verb:pres:s:3:imperf 
німецьке	німецький adj:n:v_naz 
тетяна	- - 
була	булий adjp:actv:past:f:v_naz
оркестром	оркестр noun:m:v_oru 
придбати	придбати verb:inf:perf 
переважної	переважний adj:f:v_rod 
гострий	гострий adj:m:v_naz:compb 
бульйон	бульйон noun:m:v_naz 
емоцій	емоція noun:p:v_rod 
гучно	гучно adv:compb 
оркестр	оркестр noun:m:v_naz
офіціантка	офіціантка noun:f:v_naz:anim 
ян	- - 
ідеально	ідеально adv 
грає	грати verb:pres:s:3:imperf 
гірке	гіркий adj:n:v_naz:compb
розповіла	розповісти verb:past:f:perf 
назвати	назвати verb:inf:perf 
тарас	- - 
констатація	констатація noun:f:v_naz 
видом	вид noun:m:v_oru 
дивитися	дивитися verb:rev:inf:imperf 
кава	кава noun:f:v_naz 
профі	профі noun:m:v_dav:nv:anim
рекомендую	рекомендувати verb:futr:s:1:perf 
кампанію	кампанія noun:f:v_zna 
року	рок noun:m:v_dav
побачити	побачити verb:inf:perf 
прекрасний	прекрасний adj:m:v_naz:compb 
напоїв	напоїти verb:past:m:perf
туалет	туалет noun:m:v_naz 
атмосферне	атмосферний adj:n:v_naz 
вигляд	вигляд noun:m:v_naz 
приходити	приходити verb:inf:imperf 
пересмажені	пересмажений adjp:pasv:past:p:v_naz 
нюта	- - 
замовили	замовити verb:past:p:perf 
соусу	соус noun:m:v_dav 
гостям	гостя noun:p:v_dav:anim 
мінуси	мінус noun:p:v_naz 
каток	каток noun:m:v_naz 
переконують	переконувати verb:pres:p:3:imperf 
підозрілим	підозрілий adj:m:v_oru 
сік	сік noun:m:v_naz 
сподобалась	сподобатися verb:rev:past:f:perf 
смачна	смачний adj:f:v_naz:compb 
ранок	ранок noun:m:v_naz 
закрити	закрити verb:inf:perf 
одноразових	одноразовий adj:p:v_mis
картонному	картонний adj:m:v_dav 
привітний	привітний adj:m:v_naz:compb
алкоголю	алкоголь noun:m:v_dav 
раджу	раджа noun:f:v_zna:anim
альбіна	- - 
відчищання	відчищання noun:n:v_naz
зупа	зупа noun:f:v_naz:rare 
львова	- - 
поїсти	поїсти verb:inf:perf 
ростбіф	ростбіф noun:m:v_naz
крафтові	- - 
столики	столик noun:p:v_naz 
офіціанти	офіціант noun:p:v_kly:anim
повертається	повертатися verb:rev:pres:s:3:imperf
ремонт	ремонт noun:m:v_naz
заважає	заважати verb:pres:s:3:imperf 
говорив	говорити verb:past:m:imperf 
іспанець	іспанець noun:m:v_naz:anim 
спробувати	спробувати verb:inf:perf 
має	мати verb:pres:s:3:imperf
дніпропетровця	дніпропетровець noun:m:v_rod:anim 
безкоштовне	безкоштовний adj:n:v_naz 
кутку	куток noun:m:v_dav 
пухлина	пухлина noun:f:v_naz 
офіціантки	офіціантка noun:f:v_rod:anim 
фарби	фарба noun:f:v_rod
місто	місто noun:n:v_naz 
local	- - 
олександр	- - 
ніде	ніде adv:&pron:neg 
негативних	негативний adj:p:v_mis:compb
буда	буда noun:f:v_naz 
єр	- - 
такого	такий adj:m:v_rod:&pron:def 
персонал	персонал noun:m:v_naz 
копчений	копчений adjp:pasv:past:m:v_naz
лимону	лимон noun:m:v_dav 
набагато	набагато adv 
розростається	розростатися verb:rev:pres:s:3:imperf
гарного	гарний adj:m:v_rod:compb 
власників	власник noun:p:v_rod:anim
щонеменш	- - 
імбирне	імбирний adj:n:v_naz 
пивоваріння	пивоваріння noun:n:v_naz 
найкраща	хороший adj:f:v_naz:super 
запах	запах noun:m:v_naz 
болгарії	- - 
слабеньке	слабенький adj:n:v_naz 
пивоваром	пивовар noun:m:v_oru:anim 
настойкою	настойка noun:f:v_oru
варниця	варниця noun:f:v_naz 
виділяю	виділяти verb:pres:s:1:imperf 
їжі	їжа noun:f:v_dav 
декади	декада noun:f:v_rod 
нормальне	нормальний adj:n:v_naz 
баселлем	- - 
робив	робити verb:past:m:imperf 
обгорне	обгорнути verb:futr:s:3:perf 
плюси	плюс noun:p:v_naz 
справжнім	справжній adj:m:v_mis 
посипана	посипаний adjp:pasv:past:f:v_naz 
вокзальна	вокзальний adj:f:v_naz 
брудно	брудно adv:compb 
якраз	якраз adv 
закусок	закуска noun:p:v_rod 
збіговиську	збіговисько noun:n:v_dav 
печально	печально adv:rare 
потрапили	потрапити verb:past:p:perf 
гіркотою	гіркота noun:f:v_oru 
засновником	засновник noun:m:v_oru:anim 
публічний	публічний adj:m:v_naz 
saison	- - 
доповнює	доповнювати verb:pres:s:3:imperf 
кранів	кран noun:p:v_rod 
доробили	доробити verb:past:p:perf 
запуск	запуск noun:m:v_naz 
розчинників	розчинник noun:p:v_rod 
омана	омана noun:f:v_naz 
відкривати	відкривати verb:inf:imperf 
роботи	роботи noun:unknown
шматки	шматок noun:p:v_naz 
нового	новий adj:m:v_rod:compb 
діана	- - 
смачне	смачний adj:n:v_naz:compb 
гостеві	гість noun:m:v_dav:anim 
п'янкою	п'янка noun:f:v_oru:bad 
розпробували	- - 
ароматною	ароматний adj:f:v_oru:compb 
оксана	- - 
півтораста	півтораста numr:p:v_dav:nv 
страви	страва noun:f:v_rod 
робіт	роботи noun:unknown 
сіллю	сіль noun:f:v_oru 
очах	око noun:p:v_mis 
сподобались	сподобатися verb:rev:past:p:perf 
пивом	пиво noun:n:v_oru 
пивовари	пивовар noun:p:v_kly:anim 
ракова	раковий adj:f:v_naz 
невідповідність	невідповідність noun:f:v_naz  
будівельної	будівельний adj:f:v_rod 
копчена	копчений adjp:pasv:past:f:v_naz 
власником	власник noun:m:v_oru:anim 
гурмана	гурман noun:m:v_rod:anim
короткої	короткий adj:f:v_rod:compb 
реально	реально adv:compb 
стане	станути verb:futr:s:3:perf 
переморожена	переморожений adjp:pasv:past:f:v_naz 
якістю	якість noun:f:v_oru 
спішили	спішити verb:past:p:imperf
бірофілів	- - 
надто	надто adv 
шо	- - 
специфічна	специфічний adj:f:v_naz 
передбачаю	передбачати verb:pres:s:1:imperf 
мінус	мінус noun:m:v_naz
чекаємо	чекати verb:pres:p:1:imperf 
воду	вода noun:f:v_zna
подобається	подобатися verb:rev:pres:s:3:imperf
звичайна	звичайний adj:f:v_naz:compb 
займає	займати verb:pres:s:3:imperf 
розводку	розводка noun:f:v_zna 
експортує	експортувати verb:futr:s:3:perf 
розливних	розливний adj:p:v_mis
цікаве	цікавий adj:n:v_naz:compb
споживач	споживач noun:m:v_naz:anim 
відкрились	відкритися verb:rev:past:p:perf 
броварня	броварня noun:f:v_naz 
лекції	лекція noun:f:v_mis
ексклюзивне	ексклюзивний adj:n:v_naz
свинячої	свинячий adj:f:v_rod 
крутий	крутий adj:m:v_naz:compb 
вікна	вікно noun:n:v_rod 
сортів	сорт noun:p:v_rod 
несмачна	несмачний adj:f:v_naz 
поверсі	поверх noun:m:v_mis 
серйозні	серйозний adj:p:v_naz:compb 
подача	подача noun:f:v_naz 
чудове	чудовий adj:n:v_naz:compb
бридка	бридкий adj:f:v_naz:compb 
були	бути verb:past:p:imperf 
стоїть	стояти verb:pres:s:3:imperf 
момент	момент noun:m:v_naz 
першого	перший adj:m:v_rod
шинка	шинка noun:f:v_naz
маса	маса noun:f:v_naz 
мале	малий adj:n:v_naz:compb
жахливо	жахливо adv:compb 
чекайте	чекати verb:impr:p:2:imperf 
відкриття	відкриття noun:n:v_naz 
відкривають	відкривати verb:pres:p:3:imperf 
чіпси	чіпси noun:p:v_naz
єдиний	єдиний adj:m:v_naz 
любителя	любитель noun:m:v_rod:anim
куліш	куліш noun:unknown 
тартар	тартар noun:m:v_naz 
ввечері	ввечері adv:v-u 
львові	- - 
штука	штука noun:f:v_naz 
неділям	неділя noun:p:v_dav 
вино	вино noun:n:v_naz
хорошим	хороший adj:m:v_oru:compb 
небайдужих	небайдужий adj:p:v_mis
офіціантів	офіціант noun:p:v_rod:anim
бідне	бідний adj:n:v_naz:compb
емоція	емоція noun:f:v_naz 
кишені	кишеня noun:f:v_dav 
працюйте	працювати verb:impr:p:2:imperf 
сувеніри	сувенір noun:p:v_naz
пробували	пробувати verb:past:p:imperf 
петро	- - 
найкращі	хороший adj:p:v_naz:super
трішки	трішки adv 
порозслаблятись	- - 
туристів	турист noun:p:v_rod:anim
яке	який adj:n:v_naz:&pron:int:rel:def
розчарування	розчарування noun:n:v_naz
вміння	вміння noun:n:v_naz:v-u 
святослав	- - 
цікаво	цікаво adv:compb 
смачнючим	- - 
особливих	особливий adj:p:v_mis
персонального	персональний adj:m:v_rod
стерильній	стерильний adj:f:v_dav 
пітонів	пітон noun:p:v_rod:anim
бельгії	- - 
суцільне	суцільний adj:n:v_naz
симпатичні	симпатичний adj:p:v_naz:compb
смачним	смачний adj:m:v_oru:compb
супер	супер noun:m:v_naz
закрили	закрити verb:past:p:perf 
другої	другий adj:f:v_rod 
обережно	обережно adv:compb 
страв	страва noun:p:v_rod 
цілому	цілий adj:m:v_dav
анастасія	- - 
досхочу	досхочу adv 
чекаю	чекати verb:pres:s:1:imperf 
повна	повний adj:f:v_naz:compb 
духовий	духовий adj:m:v_naz 
паб	паб noun:m:v_naz 
львів	- - 
надзвичайною	надзвичайний adj:f:v_oru 
захід	захід noun:m:v_naz 
нереально	нереально adv 
думаю	думати verb:pres:s:1:imperf 
працюють	працювати verb:pres:p:3:imperf 
жахливі	жахливий adj:p:v_naz:compb
кухня	кухня noun:f:v_naz 
ідея	ідея noun:f:v_naz 
картопляні	картопляний adj:p:v_naz
типи	тип noun:p:v_kly:anim
дорого	дорого adv:compb 
ціни	цінити verb:impr:s:2:imperf
революція	революція noun:f:v_naz 
фест	фест noun:m:v_naz:bad
завершення	завершення noun:n:v_naz
тішить	тішити verb:pres:s:3:imperf 
гіркувате	гіркуватий adj:n:v_naz
ксенія	- - 
скудне	- - 
сушену	сушений adj:f:v_zna:&adjp:pasv:past
щастя	щастя noun:n:v_naz
спеціально	спеціально adv 
скромно	скромно adv:compb 
вода	вода noun:f:v_naz 
бочками	бочка noun:p:v_oru
цікавий	цікавий adj:m:v_naz:compb 
чай	чай noun:m:v_naz
ніно	- - 
малий	малий adj:m:v_naz:compb 
ніяка	ніякий adj:f:v_naz:&pron:neg 
пива	пиво noun:n:v_rod 
містом	місто noun:n:v_oru 
ресторані	ресторан noun:m:v_mis 
власне	власне власний adj:n:v_naz
третьої	третій adj:f:v_rod 
нога	нога noun:f:v_naz 
виглядає	виглядати verb:pres:s:3:imperf 
маленьким	маленький adj:m:v_oru 
зберігатимуть	зберігати verb:futr:p:3:imperf 
відбувся	відбутися verb:rev:past:m:perf 
львівська	львівський adj:f:v_naz 
джазовим	джазовий adj:m:v_oru
хмільного	хмільний adj:m:v_rod 
виготовлене	виготовлений adjp:pasv:past:n:v_naz
нових	новий adj:p:v_mis:compb 
важко	важко adv:compb 
інтер	- - 
фуршетом	фуршет noun:m:v_oru 
дорога	дорога noun:f:v_naz
музика	музика noun:f:v_naz 
стосовно	стосовно adv 
плюс	плюс noun:m:v_naz
ззовні	ззовні adv 
вид	вид noun:m:v_naz 
їсти	їсти verb:inf:imperf 
атмосферою	атмосфера noun:f:v_oru 
смачно	смачно adv:compb 
павло	- - 
крафтова	- - 
виробництва	виробництво noun:n:v_rod 
відкриті	відкритий adjp:pasv:past:p:v_naz:compb
оригінальна	оригінальний adj:f:v_naz:compb 
зустріч	зустріч noun:f:v_naz
класна	класний adj:f:v_naz 
заклад	заклад noun:m:v_naz
вариться	варитися verb:rev:pres:s:3:imperf 
різноманітне	різноманітний adj:n:v_naz:compb 
концептуальний	концептуальний adj:m:v_naz  
